Date,bitcoin,ethereum,binancecoin,huobi-token
1587427200000,125724610427.89977,18894679854.84961,2228118491.7570333,869686398.71977
1587513600000,125473149029.1152,18883297426.60788,2232531184.047116,861000546.8027467
1587600000000,130398643209.39326,20165266729.19022,2319816863.694298,895301789.3933624
1587686400000,135414822709.73111,20371607313.859978,2353229636.8727207,904961310.4577538
1587772800000,137493716065.4006,20756708748.58927,2352743588.494633,926494010.463301
1587859200000,138298135122.85803,21449928671.504494,2402829550.629272,926080479.7563746
1587945600000,140977260141.33173,21798344583.464844,2419596600.6712656,941852175.7832828
1588032000000,142649802462.8293,21715118585.744934,2423050238.754496,945581495.4639456
1588118400000,142370212777.1421,21824818237.698734,2419444104.3851547,943656761.914452
1588204800000,160483573440.17792,23796586177.48911,2563905019.005386,1000065915.2706537
1588291200000,158042623264.3916,22894189506.373463,2521986646.0992293,979224142.5783178
1588377600000,161989355178.82224,23540629181.114624,2584203457.0105963,986244674.4979696
1588464000000,164603123455.99927,23700169401.049606,2594586018.023593,996087677.9399875
1588550400000,163036842346.68604,23254687127.813503,2526415835.1669164,976520894.743329
1588636800000,162341412439.88123,22819858077.111965,2503993914.5150027,982399900.56616
1588723200000,165335617639.04947,22740460359.466698,2490362707.68423,970922823.9466168
1588809600000,167950864937.1468,22529347281.111214,2471282824.909132,966006226.6802188
1588896000000,182927847431.44946,23678773321.927563,2525210913.3767586,990985689.5336622
1588982400000,180421762956.3486,23476076684.66088,2536683339.7633896,974887128.0826093
1589068800000,175752574354.63544,23328821609.133904,2495851840.77263,933709006.5026237
1589155200000,160814678353.7077,20859785783.852856,2258003159.3085427,903197789.3521947
1589241600000,158113540964.46692,20616754314.258286,2231962404.7689114,878167808.7053869
1589328000000,161474125336.405,20993946147.950317,2327383911.2319427,907417981.5555744
1589414400000,170593350055.82486,22169692740.7452,2390558640.3661294,919607442.3017759
1589500800000,179398095871.3398,22562017222.46954,2418544120.370333,961377739.2844144
1589587200000,170983863891.47488,21656663418.09443,2317509550.3867197,940472913.1615759
1589673600000,172309401206.74423,22256509489.004852,2371381209.7246,941500311.0876275
1589760000000,177224284369.1316,22938430778.9383,2407687200.4762278,956924887.98394
1589846400000,178446153576.46417,23793534838.638046,2456333484.604976,959397969.198447
1589932800000,179127815802.66245,23656360817.218487,2542931077.0229716,962930974.075884
1590019200000,175227227252.9058,23303624068.60854,2496496117.670325,947665823.3759379
1590105600000,166569335290.8396,22089212414.442772,2378561522.0209627,913446039.658589
1590192000000,168309812992.5134,22960218146.427925,2433514189.1309667,925348805.1995243
1590278400000,168614573110.75775,22943289960.014706,2432310884.606986,916838354.8704603
1590364800000,161407638875.36517,22417907964.48714,2364976579.025716,888883862.1889722
1590451200000,163333743988.58344,22639118588.39778,2416857097.4160295,908671448.2155902
1590537600000,162547226896.53772,22325672542.330963,2395241252.1863637,906270316.2193236
1590624000000,168615778509.82266,23085068545.910442,2430831282.617362,915411066.3719089
1590710400000,175534414971.32306,24328143646.44253,2519147859.662903,941900912.8398699
1590796800000,173355014878.4796,24504031642.684784,2514242773.5231204,952868699.3953304
1590883200000,177978616382.68933,27012940828.466957,2623199554.996485,965741020.7876351
1590969600000,174105710752.04755,25671662155.409367,2508703324.268179,944335047.4711806
1591056000000,186932702065.96875,27559451838.43636,2655040579.638382,968208431.160809
1591142400000,175463166971.51956,26414164713.757725,2555160161.912837,953899536.5630312
1591228800000,177416480472.83005,27137533088.4328,2592716465.79479,950339734.9849693
1591315200000,179830985954.85498,27105225697.6403,2622151848.8793354,1014108346.2055726
1591401600000,177373937377.29663,26722521046.76495,2609083547.6139207,1006771255.3083531
1591488000000,177901732349.93213,26923196533.750423,2594510241.243783,1039543985.7040083
1591574400000,179167717944.46164,27129407338.340355,2569939047.803725,1031377882.1602534
1591660800000,179810911053.20026,27441367803.298782,2577895737.5594263,1033212903.5926671
1591747200000,179709840753.7975,27188436885.46926,2566693310.4844394,1044140034.2378553
1591833600000,181705166673.57462,27480866985.686268,2567525315.8305535,1030881563.6088852
1591920000000,171615707160.27472,25655172292.438347,2405200798.5210166,975298480.9323634
1592006400000,174266571295.67957,26414947184.76374,2458716489.464939,1005882027.693323
1592092800000,174275005803.05463,26503078976.085632,2482197891.362207,1002601918.5925776
1592179200000,172116372679.33923,25856836267.17579,2450773581.1365023,982123663.1696683
1592265600000,173598215783.88248,25743924409.197376,2422013097.527766,980200627.3292371
1592352000000,175075304218.30185,26206196967.82947,2426825300.850088,988706727.6706635
1592438400000,174231189757.1904,26079437153.80169,2424884750.756174,978331792.7147526
1592524800000,173034439845.62103,25847377552.221436,2394325177.8205113,970327255.3642172
1592611200000,171101646024.0128,25534271650.26011,2361132693.7891955,948511429.082437
1592697600000,172323213442.3655,25501270877.342506,2373897719.7149124,952458872.9671563
